id,user_id,order_number,items,base_amount,discount_type,discount_amount,vat_portion,service_fee,total_amount,cash_provided,change,type,time_ordered,timestamp,status,employee_id,created_at,updated_at
66666666-6666-6666-6666-000000825983,00000000-0000-0000-0000-000000000002,1,"[{""menuItem"":{""id"":""11111111-1111-1111-1111-111111111111"",""name"":""Iced Americano"",""category"":""Beverages"",""basePrice"":6.2,""VAT_fee"":0.74,""totalPrice"":6.94,""hasSizes"":true,""sizes"":{""Small"":{""basePrice"":5.2,""VAT_fee"":0.62,""totalPrice"":5.82},""Medium"":{""basePrice"":6.2,""VAT_fee"":0.74,""totalPrice"":6.94},""Large"":{""basePrice"":7.2,""VAT_fee"":0.86,""totalPrice"":8.06}}},""quantity"":2,""selectedSize"":""Small""}]",15.4,None,0,0,0,15.4,15.4,0,Takeout,16:14:00.000Z,2023-01-01T16:14:00.000Z,completed,emp-2,2023-01-01T16:14:00.000Z,2023-01-01T16:14:00.000Z
66666666-6666-6666-6666-000000594508,00000000-0000-0000-0000-000000000003,2,"[{""menuItem"":{""id"":""33333333-3333-3333-3333-333333333333"",""name"":""Cheeseburger"",""category"":""Main Dishes"",""basePrice"":12.5,""VAT_fee"":1.5,""totalPrice"":14,""hasSizes"":false,""sizes"":null},""quantity"":1,""selectedSize"":""Regular""}]",13.97,None,0,0,0,13.97,13.97,0,Dine In,13:03:00.000Z,2023-01-01T13:03:00.000Z,completed,emp-3,2023-01-01T13:03:00.000Z,2023-01-01T13:03:00.000Z
66666666-6666-6666-6666-000000196049,00000000-0000-0000-0000-000000000004,3,"[{""menuItem"":{""id"":""44444444-4444-4444-4444-444444444444"",""name"":""French Fries"",""category"":""Side Dish"",""basePrice"":7,""VAT_fee"":0.84,""totalPrice"":7.84,""hasSizes"":false,""sizes"":null},""quantity"":2,""selectedSize"":""Regular""}]",17.22,None,0,0,0,17.22,17.22,0,Takeout,19:53:00.000Z,2023-01-02T19:53:00.000Z,completed,emp-4,2023-01-02T19:53:00.000Z,2023-01-02T19:53:00.000Z
66666666-6666-6666-6666-000000612732,00000000-0000-0000-0000-000000000005,4,"[{""menuItem"":{""id"":""22222222-2222-2222-2222-222222222222"",""name"":""Espresso"",""category"":""Beverages"",""basePrice"":5,""VAT_fee"":0.6,""totalPrice"":5.6,""hasSizes"":true,""sizes"":{""Single"":{""basePrice"":5,""VAT_fee"":0.6,""totalPrice"":5.6},""Double"":{""basePrice"":7.5,""VAT_fee"":0.9,""totalPrice"":8.4}}},""quantity"":1,""selectedSize"":""Single""}]",11.52,None,0,0,0,11.52,11.52,0,Dine In,20:08:00.000Z,2023-01-02T20:08:00.000Z,completed,emp-5,2023-01-02T20:08:00.000Z,2023-01-02T20:08:00.000Z
66666666-6666-6666-6666-000000946456,00000000-0000-0000-0000-000000000001,5,"[{""menuItem"":{""id"":""22222222-2222-2222-2222-222222222222"",""name"":""Espresso"",""category"":""Beverages"",""basePrice"":5,""VAT_fee"":0.6,""totalPrice"":5.6,""hasSizes"":true,""sizes"":{""Single"":{""basePrice"":5,""VAT_fee"":0.6,""totalPrice"":5.6},""Double"":{""basePrice"":7.5,""VAT_fee"":0.9,""totalPrice"":8.4}}},""quantity"":2,""selectedSize"":""Single""}]",22.4,None,0,0,0,22.4,22.4,0,Dine In,20:25:00.000Z,2023-01-03T20:25:00.000Z,completed,emp-1,2023-01-03T20:25:00.000Z,2023-01-03T20:25:00.000Z
66666666-6666-6666-6666-000000818220,00000000-0000-0000-0000-000000000002,6,"[{""menuItem"":{""id"":""55555555-5555-5555-5555-555555555555"",""name"":""Chocolate Cake"",""category"":""Desserts"",""basePrice"":10.5,""VAT_fee"":1.26,""totalPrice"":11.76,""hasSizes"":false,""sizes"":null},""quantity"":1,""selectedSize"":""Slice""}]",11.2,None,0,0,0,11.2,11.2,0,Takeout,15:05:00.000Z,2023-01-03T15:05:00.000Z,completed,emp-2,2023-01-03T15:05:00.000Z,2023-01-03T15:05:00.000Z
66666666-6666-6666-6666-000000302688,00000000-0000-0000-0000-000000000003,7,"[{""menuItem"":{""id"":""55555555-5555-5555-5555-555555555555"",""name"":""Chocolate Cake"",""category"":""Desserts"",""basePrice"":10.5,""VAT_fee"":1.26,""totalPrice"":11.76,""hasSizes"":false,""sizes"":null},""quantity"":3,""selectedSize"":""Slice""}]",21.81,None,0,0,0,21.81,21.81,0,Dine In,22:06:00.000Z,2023-01-03T22:06:00.000Z,completed,emp-3,2023-01-03T22:06:00.000Z,2023-01-03T22:06:00.000Z
66666666-6666-6666-6666-000000890973,00000000-0000-0000-0000-000000000004,8,"[{""menuItem"":{""id"":""33333333-3333-3333-3333-333333333333"",""name"":""Cheeseburger"",""category"":""Main Dishes"",""basePrice"":12.5,""VAT_fee"":1.5,""totalPrice"":14,""hasSizes"":false,""sizes"":null},""quantity"":3,""selectedSize"":""Regular""}]",39.18,None,0,0,0,39.18,39.18,0,Takeout,15:55:00.000Z,2023-01-04T15:55:00.000Z,completed,emp-4,2023-01-04T15:55:00.000Z,2023-01-04T15:55:00.000Z
66666666-6666-6666-6666-000000261807,00000000-0000-0000-0000-000000000005,9,"[{""menuItem"":{""id"":""22222222-2222-2222-2222-222222222222"",""name"":""Espresso"",""category"":""Beverages"",""basePrice"":5,""VAT_fee"":0.6,""totalPrice"":5.6,""hasSizes"":true,""sizes"":{""Single"":{""basePrice"":5,""VAT_fee"":0.6,""totalPrice"":5.6},""Double"":{""basePrice"":7.5,""VAT_fee"":0.9,""totalPrice"":8.4}}},""quantity"":3,""selectedSize"":""Double""}]",28.2,None,0,0,0,28.2,28.2,0,Takeout,19:51:00.000Z,2023-01-05T19:51:00.000Z,completed,emp-5,2023-01-05T19:51:00.000Z,2023-01-05T19:51:00.000Z
66666666-6666-6666-6666-000000797842,00000000-0000-0000-0000-000000000001,10,"[{""menuItem"":{""id"":""55555555-5555-5555-5555-555555555555"",""name"":""Chocolate Cake"",""category"":""Desserts"",""basePrice"":10.5,""VAT_fee"":1.26,""totalPrice"":11.76,""hasSizes"":false,""sizes"":null},""quantity"":1,""selectedSize"":""Slice""}]",5.62,None,0,0,0,5.62,5.62,0,Dine In,17:47:00.000Z,2023-01-05T17:47:00.000Z,completed,emp-1,2023-01-05T17:47:00.000Z,2023-01-05T17:47:00.000Z
66666666-6666-6666-6666-000000393399,00000000-0000-0000-0000-000000000002,11,"[{""menuItem"":{""id"":""55555555-5555-5555-5555-555555555555"",""name"":""Chocolate Cake"",""category"":""Desserts"",""basePrice"":10.5,""VAT_fee"":1.26,""totalPrice"":11.76,""hasSizes"":false,""sizes"":null},""quantity"":2,""selectedSize"":""Slice""}]",25.48,None,0,0,0,25.48,25.48,0,Dine In,15:22:00.000Z,2023-01-05T15:22:00.000Z,completed,emp-2,2023-01-05T15:22:00.000Z,2023-01-05T15:22:00.000Z
66666666-6666-6666-6666-000000942215,00000000-0000-0000-0000-000000000003,12,"[{""menuItem"":{""id"":""22222222-2222-2222-2222-222222222222"",""name"":""Espresso"",""category"":""Beverages"",""basePrice"":5,""VAT_fee"":0.6,""totalPrice"":5.6,""hasSizes"":true,""sizes"":{""Single"":{""basePrice"":5,""VAT_fee"":0.6,""totalPrice"":5.6},""Double"":{""basePrice"":7.5,""VAT_fee"":0.9,""totalPrice"":8.4}}},""quantity"":2,""selectedSize"":""Double""}]",21.4,None,0,0,0,21.4,21.4,0,Takeout,16:52:00.000Z,2023-01-06T16:52:00.000Z,completed,emp-3,2023-01-06T16:52:00.000Z,2023-01-06T16:52:00.000Z
